Date,T1Y Index,T2Y Index,T3Y Index,T5Y Index,T7Y Index,T10Y Index,CP1M,CP3M,CP6M,CP1M_T1Y,CP3M_T1Y,CP6M_T1Y,USPHCI,PCT 3MO FWD,PCT 6MO FWD,PCT 9MO FWD
1/31/1979,10.41,9.86,9.5,9.2,9.14,9.1,9.75,9.95,10.01,0.936599424,0.95581172,0.961575408,47.08,0.011469839,0.018059639,0.024405507
2/28/1979,10.24,9.72,9.29,9.13,9.11,9.1,9.74,9.9,9.96,0.951171875,0.966796875,0.97265625,47.32,0.009298394,0.014865997,0.020612117
3/31/1979,10.25,9.79,9.38,9.2,9.15,9.12,9.72,9.85,9.87,0.948292683,0.96097561,0.962926829,47.39,0.010339734,0.015455305,0.02015375
4/30/1979,10.12,9.78,9.43,9.25,9.21,9.18,9.86,9.95,9.98,0.9743083,0.983201581,0.986166008,47.62,0.006719866,0.013141427,0.017409326
5/31/1979,10.12,9.78,9.42,9.24,9.23,9.25,9.77,9.76,9.71,0.96541502,0.964426877,0.959486166,47.76,0.005653266,0.011451176,0.016352722
6/30/1979,9.57,9.22,8.95,8.85,8.86,8.91,9.88,9.87,9.82,1.032392894,1.031347962,1.026123302,47.88,0.005221387,0.00997299,0.0117866
7/31/1979,9.64,9.14,8.94,8.9,8.92,8.95,10.44,10.42,10.39,1.082987552,1.080912863,1.07780083,47.94,0.006466416,0.010777202,0.007428807
8/31/1979,9.98,9.46,9.14,9.06,9.05,9.03,11.52,11.63,11.6,1.154308617,1.165330661,1.162324649,48.03,0.00582969,0.010763817,0.003913491
9/30/1979,10.84,10.06,9.69,9.41,9.38,9.33,13.06,13.23,13.23,1.204797048,1.220479705,1.220479705,48.13,0.004778724,0.006617039,-0.000206398
10/31/1979,12.44,11.49,10.95,10.63,10.47,10.3,13.34,13.57,13.26,1.072347267,1.090836013,1.065916399,48.25,0.004352332,0.001031779,-0.000621118
11/30/1979,12.39,11.81,11.18,10.93,10.8,10.65,13.35,13.24,12.8,1.07748184,1.068603713,1.033091203,48.31,0.004967916,-0.001853759,0
12/31/1979,11.98,11.39,10.71,10.42,10.42,10.39,13.07,13.04,12.66,1.090984975,1.088480801,1.056761269,48.36,0.001861042,-0.00495356,0.001454697
1/31/1980,12.06,11.5,10.88,10.74,10.77,10.8,13.62,13.78,13.6,1.129353234,1.142620232,1.127694859,48.46,-0.003301692,-0.004968944,0.002073828
2/29/1980,13.92,13.42,12.84,12.6,12.53,12.41,16.55,16.81,16.5,1.188936782,1.207614943,1.185344828,48.55,-0.006797116,-0.004977188,0.00413993
3/31/1980,15.82,14.88,14.05,13.47,13,12.75,16.1,15.78,14.93,1.017699115,0.997471555,0.943742099,48.45,-0.006811146,-0.000415628,0.007020442
4/30/1980,13.3,12.5,12.02,11.84,11.49,11.47,9.6,9.49,9.29,0.721804511,0.713533835,0.698496241,48.3,-0.001656315,0.005391954,0.013179572
5/31/1980,9.39,9.45,9.44,9.95,10.09,10.18,8.56,8.27,8.03,0.911608094,0.880724175,0.855165069,48.22,0.001866445,0.010970813,0.016410256
6/30/1980,8.16,8.73,8.91,9.21,9.45,9.78,8.53,8.41,8.29,1.045343137,1.030637255,1.015931373,48.12,0.006442228,0.0138344,0.021110883
7/31/1980,8.65,9.03,9.27,9.53,9.84,10.25,9.48,9.57,9.61,1.095953757,1.106358382,1.110982659,48.22,0.007051016,0.014827018,0.019207192
8/31/1980,10.24,10.53,10.63,10.84,10.95,11.1,10.82,10.97,11.04,1.056640625,1.071289063,1.078125,48.31,0.009107845,0.014564103,0.020195838
9/30/1980,11.52,11.57,11.57,11.62,11.57,11.51,12.59,12.52,12.32,1.092881944,1.086805556,1.069444444,48.43,0.007433409,0.014757122,0.020752798
